name,jenre,title,character,year
子安武人,アニメ,聖剣使いの禁呪詠唱<ワールドブレイク>,シャルル・サン・ジェルマン,2015/01/12
子安武人,アニメ,憑物語,手折正弦,2014/12/31
子安武人,アニメ,テイルズ オブ ゼスティリア ～導師の夜明け～,ルナール,2014/12/30
子安武人,アニメ,怪盗ジョーカー,ドクターネオ,2014/10/06
子安武人,アニメ,戦国BASARA Judge End,猿飛佐助,2014/07/06
子安武人,アニメ,デート・ア・ライブII,神無月恭平,2014/04/12
子安武人,アニメ,シドニアの騎士,落合,2014/04/11
子安武人,アニメ,風雲維新ダイショーグン,一ツ橋重義,2014/04/10
子安武人,アニメ,星刻の竜騎士,ミルガウス,2014/04/05
子安武人,アニメ,ジョジョの奇妙な冒険 スターダストクルセイダース,DIO,2014/04/05
子安武人,アニメ,健全ロボ ダイミダラー,又吉一雄,2014/04/05
子安武人,アニメ,ケロロ,クルル曹長,2014/03/22
子安武人,ゲーム,ジェイスターズ ビクトリーバーサス,ボボボーボ・ボーボボ / 脳噛ネウロ,2014/03/19
子安武人,ゲーム,グランブルーファンタジー,ルシウス,2014/03/10
子安武人,ゲーム,ガンスリンガーストラトス2,アーロン・バロウズ,2014/02/20
子安武人,アニメ,ハピネスチャージプリキュア!,オレスキー,2014/02/02
子安武人,ゲーム,戦国BASARA4,猿飛佐助,2014/01/23
子安武人,アニメ,ニセコイ,クロード,2014/01/11
子安武人,アニメ,みんな集まれ!ファルコム学園,オリビエ,2014/01/05
子安武人,アニメ,ソードアート・オンライン Extra Edition,須郷伸之(オベイロン),2013/12/31
子安武人,アニメ,魔女っこ姉妹のヨヨとネネ,ニルス,2013/12/28
子安武人,アニメ,コードギアス 亡国のアキト 第2章 -引き裂かれし翼竜-,アンドレア・ファルナーゼ,2013/09/14
子安武人,ゲーム,ジョジョの奇妙な冒険 オールスターバトル,DIO,2013/08/29
子安武人,アニメ,ミュウツー -覚醒への序章(プロローグ)-,ダンク,2013/07/11
子安武人,ゲーム,デート・ア・ライブ 凜祢ユートピア,神無月恭平,2013/06/27
子安武人,ゲーム,ヴァルハラナイツ3,男性声優,2013/05/23
子安武人,アニメ,革命機ヴァルヴレイヴ,ドルシア総統,2013/04/12
子安武人,アニメ,進撃の巨人,ジーク,2013/04/07
子安武人,アニメ,デート・ア・ライブ,神無月恭平,2013/03/31
子安武人,ゲーム,スーパーロボット大戦UX,ウィンフィールド,2013/03/14
子安武人,ゲーム,クイズRPG 魔法使いと黒猫のウィズ,クォ・ヴァディス,2013/03/05
子安武人,ゲーム,HEROES' VS,ターンX,2013/02/07
子安武人,アニメ,ヱヴァンゲリヲン 新劇場版:Q,青葉シゲル,2012/11/17
子安武人,アニメ,頭文字D Fifth Stage,高橋涼介,2012/11/09
子安武人,ゲーム,ガールフレンド(仮),悪桃男,2012/10/29
子安武人,アニメ,マクロスFB7 銀河流魂 オレノウタヲキケ!,ガムリン木崎,2012/10/20
子安武人,アニメ,蒼い世界の中心で,ゼリグ,2012/10/20
子安武人,ゲーム,ブレイブリーデフォルト フライングフェアリー,"""聖騎士""エタルニア公国元帥",2012/10/11
子安武人,アニメ,アイカツ! -アイドルカツドウ!-,星宮太一,2012/10/08
子安武人,アニメ,バクマン。3,吉田幸司,2012/10/06
子安武人,アニメ,ジョジョの奇妙な冒険 THE ANIMATION,ディオ・ブランドー,2012/10/06
子安武人,アニメ,となりの怪物くん,水谷隆司,2012/10/02
子安武人,アニメ,コードギアス 亡国のアキト 第1章 -翼竜は舞い降りた-,アンドレア・ファルナーゼ,2012/08/04
